sep=,
"Code","Description","Category","Last Cost","Avg. Cost","Excl. Price","Incl. Price","GP %","GP Amount","Qty on Hand","Active","Phys."
"50mx50mER","50mm X 50M P80 Economy Roll B/D",,"R 0.00","0","488","561.2","0","488","4","Yes","Yes"
"50SS","50mm Sadle Steel (each)",,"R 0.00","0","7.5","8.63","0","7.5","3","Yes","Yes"
"50x10mmAST","Anti-Slip Tape-Black 50mm X10m",,"R 119.64","119.64","302","347.3","60.38","182.36","2","Yes","Yes"
"510DP","5x20mm Dowel Pin",,"R 5.85","5.63","344","395.6","98.36","338.37","20.8","Yes","Yes"
"52MS","5/2 SOL-MECH-SPRING",,"R 1,027.15","205.43","1772","2037.8","88.41","1566.57","5","Yes","Yes"
"58312htB","5/8 X 3.1/2 NC HT BOLT",,"R 15.00","7.5","20.7","23.8","63.77","13.2","100","Yes","Yes"
"5BG","Black Gloss Q/D 5 Litre",,"R 0.00","0","578","664.7","0","578","2","Yes","Yes"
"5BP","Black Primer 5 Litre",,"R 0.00","0","635","730.25","0","635","3","Yes","Yes"
"5C530","5 Cantilever 530 x 200 x 205MM",,"R 298.30","29.83","527.68","606.83","94.35","497.85","10","Yes","Yes"
"5d","5L Degreaser",,"R 0.00","0","90","103.5","0","90","9","Yes","Yes"
"5ds","5 Litre Damp Seal",,"R 0.00","0","999","1148.85","0","999","9","Yes","Yes"
"5kgHC","5KG Hand Cleaner with Grit",,"R 85.86","0.39","265.99","305.89","99.85","265.6","999","Yes","Yes"
"5KGWG16","5KG Wire Gal 1.6mm x 317m",,"R 0.00","0","199","228.85","0","199","999","Yes","Yes"
"5lB","5 Litre White Bucket",,"R 15.72","7.86","30","34.5","73.8","22.14","100","Yes","Yes"
"5LC","5 Litre Container",,"R 0.00","0","0.1","0.11","0","0.1","5","Yes","Yes"
"5LCV","5 Litre Exterior Clear Varnish",,"R 0.00","0","1000","1150","0","1000","23","Yes","Yes"
"5LDS","5 Litre Duram Durastripp",,"R 494.20","494.2","680","782","27.32","185.8","-3","Yes","Yes"
"5LiD","5 Litre IMBUIA Dye",,"R 0.00","0","630","724.5","0","630","5","Yes","Yes"
"5LPG","5 Litre Pine Gel",,"R 93.84","2.45","150","172.5","98.37","147.55","979","Yes","Yes"
"5LPR","Paint Remover 5 Litre",,"R 412.17","6.84","650","747.5","98.95","643.16","979","Yes","Yes"
"5Lqdg","5 Litre Q/D Grey Battleship Light",,"R 744.26","744.26","715","822.25","-4.09","-29.26","-6","Yes","Yes"
"5lwqp","5 Litre White QD Paint",,"R 0.00","0","715","822.25","0","715","9","Yes","Yes"
"5mFSS","5m Foam Stick and Seal 10x25mm",,"R 0.00","0","74","85.1","0","74","5","Yes","Yes"
"5mmSC","5mm Stretch Cord(Per Meter)",,"R 0.00","0","9","10.35","0","9","0","Yes","Yes"
"5MMWRG","5MM Wire Rope Galv(6x19)",,"R 4.98","4.33","13","14.95","66.69","8.67","150","Yes","Yes"
"5mOT","5m Omega Tape",,"R 0.00","0","47","54.05","0","47","9","Yes","Yes"
"5mTM","5m Tape Measure",,"R 32.89","0.34","65","74.75","99.48","64.66","97","Yes","Yes"
